% lua-widow-control
% https://github.com/gucci-on-fleek/lua-widow-control
% SPDX-License-Identifier: MPL-2.0+ OR CC-BY-SA-4.0+
% SPDX-FileCopyrightText: 2022 Max Chernoff

Percentile	Natural Long
0.063734863	nan	nan
0.127469726	nan	nan
0.191204589	nan	nan
0.254939452	nan	nan
0.318674315	nan	nan
0.382409178	nan	nan
0.446144041	100	nan
0.509878904	100	nan
0.573613767	100	nan
0.63734863	100	nan
0.701083493	100	nan
0.764818356	100	nan
0.828553219	100	nan
0.892288082	100	nan
0.956022945	100	nan
1.019757808	100	nan
1.08349267	100	nan
1.147227533	100	nan
1.210962396	100	nan
1.274697259	100	nan
1.338432122	100	nan
1.402166985	100	nan
1.465901848	100	nan
1.529636711	100	nan
1.593371574	100	nan
1.657106437	100	nan
1.7208413	100	nan
1.784576163	100	nan
1.848311026	100	nan
1.912045889	100	nan
1.975780752	100	nan
2.039515615	100	nan
2.103250478	100	nan
2.166985341	100	nan
2.230720204	100	nan
2.294455067	100	nan
2.35818993	100	nan
2.421924793	100	nan
2.485659656	100	nan
2.549394519	100	nan
2.613129382	100	nan
2.676864245	100	nan
2.740599108	100	nan
2.804333971	100	nan
2.868068834	100	nan
2.931803697	100	nan
2.99553856	100	nan
3.059273423	100	nan
3.123008286	100	nan
3.186743149	100	nan
3.250478011	100	nan
3.314212874	100	nan
3.377947737	100	nan
3.4416826	100	nan
3.505417463	100	nan
3.569152326	100	nan
3.632887189	100	nan
3.696622052	100	nan
3.760356915	100	nan
3.824091778	100	nan
3.887826641	100	nan
3.951561504	100	nan
4.015296367	100	nan
4.07903123	100	nan
4.142766093	100	nan
4.206500956	100	nan
4.270235819	100	nan
4.333970682	100	nan
4.397705545	100	nan
4.461440408	100	nan
4.525175271	100	nan
4.588910134	100	nan
4.652644997	100	nan
4.71637986	100	nan
4.780114723	100	nan
4.843849586	100	nan
4.907584449	100	nan
4.971319312	100	nan
5.035054175	100	nan
5.098789038	100	nan
5.162523901	100	nan
5.226258764	100	nan
5.289993627	100	nan
5.353728489	100	nan
5.417463352	100	nan
5.481198215	100	nan
5.544933078	100	nan
5.608667941	100	nan
5.672402804	100	nan
5.736137667	100	nan
5.79987253	100	nan
5.863607393	100	nan
5.927342256	100	nan
5.991077119	100	nan
6.054811982	100	nan
6.118546845	100	nan
6.182281708	100	nan
6.246016571	100	nan
6.309751434	100	nan
6.373486297	100	nan
6.43722116	100	nan
6.500956023	100	nan
6.564690886	100	nan
6.628425749	100	nan
6.692160612	100	nan
6.755895475	100	nan
6.819630338	100	nan
6.883365201	100	nan
6.947100064	100	nan
7.010834927	100	nan
7.07456979	100	nan
7.138304653	100	nan
7.202039516	100	nan
7.265774379	100	nan
7.329509242	100	nan
7.393244105	100	nan
7.456978967	100	nan
7.52071383	100	nan
7.584448693	100	nan
7.648183556	100	nan
7.711918419	100	nan
7.775653282	100	nan
7.839388145	100	nan
7.903123008	100	nan
7.966857871	100	nan
8.030592734	100	nan
8.094327597	100	nan
8.15806246	100	nan
8.221797323	100	nan
8.285532186	100	nan
8.349267049	100	nan
8.413001912	100	nan
8.476736775	100	nan
8.540471638	100	nan
8.604206501	100	nan
8.667941364	100	nan
8.731676227	100	nan
8.79541109	100	nan
8.859145953	100	nan
8.922880816	100	nan
8.986615679	100	nan
9.050350542	100	nan
9.114085405	100	nan
9.177820268	100	nan
9.241555131	100	nan
9.305289994	100	nan
9.369024857	100	nan
9.43275972	100	nan
9.496494583	100	nan
9.560229446	100	nan
9.623964308	100	nan
9.687699171	100	nan
9.751434034	100	nan
9.815168897	100	nan
9.87890376	100	nan
9.942638623	100	nan
10.00637349	100	nan
10.07010835	100	nan
10.13384321	100	nan
10.19757808	100	nan
10.26131294	100	nan
10.3250478	100	nan
10.38878266	100	nan
10.45251753	100	nan
10.51625239	100	nan
10.57998725	100	nan
10.64372212	100	nan
10.70745698	100	nan
10.77119184	100	nan
10.8349267	100	nan
10.89866157	100	nan
10.96239643	100	nan
11.02613129	100	nan
11.08986616	100	nan
11.15360102	100	nan
11.21733588	100	nan
11.28107075	100	nan
11.34480561	100	nan
11.40854047	100	nan
11.47227533	100	nan
11.5360102	100	nan
11.59974506	100	nan
11.66347992	100	nan
11.72721479	100	nan
11.79094965	100	nan
11.85468451	100	nan
11.91841938	100	nan
11.98215424	100	nan
12.0458891	100	nan
12.10962396	100	nan
12.17335883	100	nan
12.23709369	100	nan
12.30082855	100	nan
12.36456342	100	nan
12.42829828	100	nan
12.49203314	100	nan
12.55576801	100	nan
12.61950287	100	nan
12.68323773	100	nan
12.74697259	100	nan
12.81070746	100	nan
12.87444232	100	nan
12.93817718	100	nan
13.00191205	100	nan
13.06564691	100	nan
13.12938177	100	nan
13.19311663	100	nan
13.2568515	100	nan
13.32058636	100	nan
13.38432122	100	nan
13.44805609	100	nan
13.51179095	100	nan
13.57552581	100	nan
13.63926068	100	nan
13.70299554	100	nan
13.7667304	100	nan
13.83046526	100	nan
13.89420013	100	nan
13.95793499	100	nan
14.02166985	100	nan
14.08540472	100	nan
14.14913958	100	nan
14.21287444	100	nan
14.27660931	100	nan
14.34034417	100	nan
14.40407903	100	nan
14.46781389	100	nan
14.53154876	100	nan
14.59528362	100	nan
14.65901848	100	nan
14.72275335	100	nan
14.78648821	100	nan
14.85022307	100	nan
14.91395793	100	nan
14.9776928	100	nan
15.04142766	100	nan
15.10516252	100	nan
15.16889739	100	nan
15.23263225	100	nan
15.29636711	100	nan
15.36010198	100	nan
15.42383684	100	nan
15.4875717	100	nan
15.55130656	100	nan
15.61504143	100	nan
15.67877629	100	nan
15.74251115	100	nan
15.80624602	100	nan
15.86998088	100	nan
15.93371574	100	nan
15.99745061	100	nan
16.06118547	100	nan
16.12492033	100	nan
16.18865519	100	nan
16.25239006	100	nan
16.31612492	100	nan
16.37985978	100	nan
16.44359465	100	nan
16.50732951	100	nan
16.57106437	100	nan
16.63479924	100	nan
16.6985341	100	nan
16.76226896	100	nan
16.82600382	100	nan
16.88973869	100	nan
16.95347355	100	nan
17.01720841	100	nan
17.08094328	100	nan
17.14467814	100	nan
17.208413	100	nan
17.27214786	100	nan
17.33588273	100	nan
17.39961759	100	nan
17.46335245	100	nan
17.52708732	100	nan
17.59082218	100	nan
17.65455704	100	nan
17.71829191	100	nan
17.78202677	100	nan
17.84576163	100	nan
17.90949649	100	nan
17.97323136	100	nan
18.03696622	100	nan
18.10070108	100	nan
18.16443595	100	nan
18.22817081	100	nan
18.29190567	100	nan
18.35564054	100	nan
18.4193754	100	nan
18.48311026	100	nan
18.54684512	100	nan
18.61057999	100	nan
18.67431485	100	nan
18.73804971	100	nan
18.80178458	100	nan
18.86551944	100	nan
18.9292543	100	nan
18.99298917	100	nan
19.05672403	100	nan
19.12045889	100	nan
19.18419375	100	nan
19.24792862	100	nan
19.31166348	100	nan
19.37539834	100	nan
19.43913321	100	nan
19.50286807	100	nan
19.56660293	100	nan
19.63033779	100	nan
19.69407266	100	nan
19.75780752	100	nan
19.82154238	100	nan
19.88527725	100	nan
19.94901211	100	nan
20.01274697	100	nan
20.07648184	100	nan
20.1402167	100	nan
20.20395156	100	nan
20.26768642	100	nan
20.33142129	100	nan
20.39515615	100	nan
20.45889101	100	nan
20.52262588	100	nan
20.58636074	100	nan
20.6500956	100	nan
20.71383047	100	nan
20.77756533	100	nan
20.84130019	100	nan
20.90503505	100	nan
20.96876992	100	nan
21.03250478	100	nan
21.09623964	100	nan
21.15997451	100	nan
21.22370937	100	nan
21.28744423	100	nan
21.35117909	100	nan
21.41491396	100	nan
21.47864882	100	nan
21.54238368	100	nan
21.60611855	100	nan
21.66985341	100	nan
21.73358827	100	nan
21.79732314	100	nan
21.861058	100	nan
21.92479286	100	nan
21.98852772	100	nan
22.05226259	100	nan
22.11599745	100	nan
22.17973231	100	nan
22.24346718	100	nan
22.30720204	100	nan
22.3709369	100	nan
22.43467177	100	nan
22.49840663	100	nan
22.56214149	100	nan
22.62587635	100	nan
22.68961122	100	nan
22.75334608	100	nan
22.81708094	100	nan
22.88081581	100	nan
22.94455067	100	nan
23.00828553	100	nan
23.0720204	100	nan
23.13575526	100	nan
23.19949012	100	nan
23.26322498	100	nan
23.32695985	100	nan
23.39069471	100	nan
23.45442957	100	nan
23.51816444	100	nan
23.5818993	100	nan
23.64563416	100	nan
23.70936902	100	nan
23.77310389	100	nan
23.83683875	100	nan
23.90057361	100	nan
23.96430848	100	nan
24.02804334	100	nan
24.0917782	100	nan
24.15551307	100	nan
24.21924793	100	nan
24.28298279	100	nan
24.34671765	100	nan
24.41045252	100	nan
24.47418738	100	nan
24.53792224	100	nan
24.60165711	100	nan
24.66539197	100	nan
24.72912683	100	nan
24.7928617	100	nan
24.85659656	100	nan
24.92033142	100	nan
24.98406628	100	nan
25.04780115	100	nan
25.11153601	100	nan
25.17527087	100	nan
25.23900574	100	nan
25.3027406	100	nan
25.36647546	100	nan
25.43021033	100	nan
25.49394519	100	nan
25.55768005	100	nan
25.62141491	100	nan
25.68514978	100	nan
25.74888464	100	nan
25.8126195	100	nan
25.87635437	100	nan
25.94008923	100	nan
26.00382409	100	nan
26.06755895	100	nan
26.13129382	100	nan
26.19502868	100	nan
26.25876354	100	nan
26.32249841	100	nan
26.38623327	100	nan
26.44996813	100	nan
26.513703	100	nan
26.57743786	100	nan
26.64117272	100	nan
26.70490758	100	nan
26.76864245	100	nan
26.83237731	100	nan
26.89611217	100	nan
26.95984704	100	nan
27.0235819	100	nan
27.08731676	100	nan
27.15105163	100	nan
27.21478649	100	nan
27.27852135	100	nan
27.34225621	100	nan
27.40599108	100	nan
27.46972594	100	nan
27.5334608	100	nan
27.59719567	100	nan
27.66093053	100	nan
27.72466539	100	nan
27.78840025	100	nan
27.85213512	100	nan
27.91586998	100	nan
27.97960484	121	nan
28.04333971	141.4213562	nan
28.10707457	141.4213562	nan
28.17080943	141.4213562	nan
28.2345443	141.4213562	nan
28.29827916	141.4213562	nan
28.36201402	141.4213562	nan
28.42574888	141.4213562	nan
28.48948375	141.4213562	nan
28.55321861	141.4213562	nan
28.61695347	141.4213562	nan
28.68068834	141.4213562	nan
28.7444232	141.4213562	nan
28.80815806	141.4213562	nan
28.87189293	141.4213562	nan
28.93562779	141.4213562	140.8734657
28.99936265	141.4213562	141.4213562
29.06309751	141.4213562	141.4213562
29.12683238	141.4213562	141.4213562
29.19056724	141.4213562	141.4213562
29.2543021	141.4213562	155.3072224
29.31803697	141.4213562	170.8956797
29.38177183	141.4213562	172.5340546
29.44550669	141.4213562	172.5340546
29.50924156	141.4213562	172.5340546
29.57297642	141.4213562	187.383297
29.63671128	141.4213562	187.383297
29.70044614	141.4213562	190.2117241
29.76418101	141.4213562	190.2117241
29.82791587	141.4213562	190.2117241
29.89165073	141.4213562	190.2117241
29.9553856	141.4213562	190.2117241
30.01912046	141.4213562	205.0609665
30.08285532	141.4213562	205.0609665
30.14659018	141.4213562	209.3036072
30.21032505	141.4213562	209.3036072
30.27405991	141.4213562	209.3036072
30.33779477	141.4213562	209.3036072
30.40152964	141.4213562	213.0422493
30.4652645	141.4213562	221.3244225
30.52899936	141.4213562	224.1528496
30.59273423	141.4213562	229.8097039
30.65646909	141.4213562	229.8097039
30.72020395	141.4213562	229.8097039
30.78393881	141.4213562	229.8097039
30.84767368	141.4213562	233.5
30.91140854	141.4213562	240.4163056
30.9751434	141.4213562	244.6589463
31.03887827	141.4213562	244.6589463
31.10261313	141.4213562	251.7300141
31.16634799	141.4213562	251.7300141
31.23008286	141.4213562	251.7300141
31.29381772	141.4213562	251.7300141
31.35755258	141.4213562	260.9224023
31.42128744	141.4213562	266.1584741
31.48502231	141.4213562	266.5792565
31.54875717	141.4213562	275.0645379
31.61249203	141.4213562	275.0645379
31.6762269	141.4213562	275.0645379
31.73996176	141.4213562	278.6000718
31.80369662	141.4213562	280.5922308
31.86743149	141.4213562	282.8427125
31.93116635	141.4213562	288.6751346
31.99490121	141.4213562	289.9137803
32.05863607	141.4213562	297.3353886
32.12237094	141.4213562	299.8132752
32.1861058	141.4213562	299.8132752
32.24984066	141.4213562	300.520382
32.31357553	141.4213562	306.1772363
32.37731039	141.4213562	314.6558967
32.44104525	141.4213562	314.6625176
32.50478011	141.4213562	319.6122651
32.56851498	141.4213562	325.9762261
32.63224984	141.4213562	325.9762261
32.6959847	141.4213562	325.9762261
32.75971957	141.4213562	330.9259736
32.82345443	141.4213562	340.0593086
32.88718929	141.4213562	340.1183618
32.95092416	141.4213562	346.4101615
33.01465902	141.4213562	349.2969129
33.07839388	141.4213562	353.5533906
33.14212874	141.4213562	357.0889245
33.20586361	141.4213562	363.4528855
33.26959847	141.4213562	368.402633
33.33333333	141.4213562	372.3909236
33.3970682	141.4213562	379.3191269
33.46080306	141.4213562	382.5447686
33.52453792	141.4213562	382.5447686
33.58827279	141.4213562	384.666089
33.65200765	141.4213562	391.5
33.71574251	141.4213562	396.0622847
33.77947737	141.4213562	404.7225387
33.84321224	141.4213562	409.9186911
33.9069471	141.4213562	412.9503602
33.97068196	141.4213562	412.9503602
34.03441683	141.4213562	419.1562954
34.09815169	141.4213562	433.0127019
34.16188655	141.4213562	437.631504
34.22562141	141.4213562	444.7701654
34.28935628	141.4213562	444.7701654
34.35309114	141.4213562	448.5
34.416826	141.4213562	459.6194078
34.48056087	141.4213562	461.7407281
34.54429573	141.4213562	467.653718
34.60803059	141.4213562	473.4272207
34.67176546	141.4213562	476.3139721
34.73550032	141.4213562	478.0041841
34.79923518	141.4213562	480.8326112
34.86297004	141.4213562	484.9742261
34.92670491	141.4213562	492.8534265
34.99043977	141.4213562	497.0985818
35.05417463	141.4213562	508.6455872
35.1179095	141.4213562	512.6524164
35.18164436	141.4213562	516.1511407
35.24537922	141.4213562	520.5
35.30911409	141.4213562	527.5016588
35.37284895	141.4213562	536.3584001
35.43658381	141.4213562	543.2866033
35.50031867	141.4213562	545.8864351
35.56405354	141.4213562	548.7148622
35.6277884	141.4213562	550.7921568
35.69152326	141.4213562	557.72036
35.75525813	141.4213562	563.5641046
35.81899299	141.4213562	568.1126649
35.88272785	141.4213562	577.3502692
35.94646272	141.4213562	582.5
36.01019758	141.4213562	586.1915216
36.07393244	141.4213562	586.5878735
36.1376673	141.4213562	594.093427
36.20140217	141.4213562	600.5
36.26513703	141.4213562	601.040764
36.32887189	141.4213562	605.6404324
36.39260676	141.4213562	612.5686356
36.45634162	141.4213562	617.30422
36.52007648	141.4213562	625.0823946
36.58381134	141.4213562	625.2703415
36.64754621	141.4213562	634.9818895
36.71128107	141.4213562	639.931637
36.77501593	141.4213562	647.2096518
36.8387508	141.4213562	656.1950929
36.90248566	141.4213562	661.0660582
36.96622052	141.4213562	665.3874811
37.02995539	141.4213562	669
37.09369025	141.4213562	673.8727625
37.15742511	141.4213562	680.2367235
37.22115997	141.4213562	692.9646456
37.28489484	141.4213562	698.0164755
37.3486297	141.4213562	707.1067812
37.41236456	141.4213562	713.0275824
37.47609943	141.4213562	716.4916841
37.53983429	141.4213562	721.6878365
37.60356915	141.4213562	727.4613392
37.66730402	141.4213562	728.6160397
37.73103888	141.4213562	733.5
37.79477374	141.4213562	742.4724462
37.8585086	141.4213562	746.5138981
37.92224347	141.4213562	750.5
37.98597833	141.4213562	756.3288526
38.04971319	141.4213562	764.9891067
38.11344806	141.4213562	769.6079088
38.17718292	141.4213562	774.9890322
38.24091778	141.4213562	775.4683746
38.30465264	141.4213562	781.3529932
38.36838751	141.4213562	787.9903553
38.43212237	141.4213562	794.7880221
38.49585723	141.4213562	795
38.5595921	141.4213562	799.6301228
38.62332696	141.4213562	808.2903769
38.68706182	141.4213562	809.6372645
38.75079669	141.4213562	816.3732806
38.81453155	141.4213562	822.7241336
38.87826641	141.4213562	825.9007204
38.94200127	141.4213562	836.2894236
39.00573614	141.4213562	840.7499628
39.069471	141.4213562	843.57839
39.13320586	141.4213562	849
39.19694073	141.4213562	853.5
39.26067559	141.4213562	856.7877995
39.32441045	141.4213562	864.9110937
39.38814532	141.4213562	871.8626612
39.45188018	141.4213562	877
39.51561504	141.4213562	888.1261172
39.5793499	141.4213562	893.1608664
39.64308477	141.4213562	903.5
39.70681963	141.4213562	906.5108935
39.77055449	141.4213562	917.986928
39.83428936	141.4213562	922
39.89802422	141.4213562	930.1112837
39.96175908	141.4213562	936.9164851
40.02549395	141.4213562	936.9164851
40.08922881	141.4213562	945.6997409
40.15296367	141.4213562	952.0505939
40.21669853	141.4213562	961.0620167
40.2804334	141.4213562	972.8352036
40.34416826	141.4213562	976.267279
40.40790312	141.4213562	987.1210665
40.47163799	141.4213562	998.434775
40.53537285	141.4213562	1001.970309
40.59910771	141.4213562	1008.05357
40.66284257	141.4213562	1019.023225
40.72657744	141.4213562	1025
40.7903123	141.4213562	1035.911434
40.85404716	141.4213562	1039.230485
40.91778203	141.4213562	1044.426637
40.98151689	141.4213562	1053.589104
41.04525175	141.4213562	1058.283043
41.10898662	141.4213562	1062.5
41.17272148	141.4213562	1069.85256
41.23645634	141.4213562	1079.067653
41.3001912	141.4213562	1084.5
41.36392607	141.4213562	1091.77287
41.42766093	141.4213562	1097.542862
41.49139579	141.4213562	1103.5
41.55513066	141.4213562	1112.728594
41.61886552	141.4213562	1124.294979
41.68260038	141.4213562	1127.244654
41.74633525	141.4213562	1133.239251
41.81007011	141.4213562	1141.263435
41.87380497	141.4213562	1147.5
41.93753983	141.4213562	1156.941572
42.0012747	141.4213562	1161.069335
42.06500956	141.4213562	1172.383043
42.12874442	141.4213562	1177.332791
42.19247929	141.4213562	1189.341555
42.25621415	141.4213562	1199.733859
42.31994901	141.4213562	1202.081528
42.38368388	141.4213562	1202.081528
42.44741874	141.4213562	1209
42.5111536	141.4213562	1217.050468
42.57488846	141.4213562	1225.416052
42.63862333	141.4213562	1233.5
42.70235819	141.4213562	1245.344531
42.76609305	141.4213562	1252.272734
42.82982792	141.4213562	1257.5
42.89356278	141.4213562	1259.357177
42.95729764	141.4213562	1262.665039
43.0210325	141.4213562	1274.20642
43.08476737	141.4213562	1279.985547
43.14850223	141.4213562	1290.469876
43.21223709	141.4213562	1296.025
43.27597196	141.4213562	1308.147545
43.33970682	141.4213562	1318.04704
43.40344168	141.4213562	1323.703894
43.46717655	141.4213562	1332.896283
43.53091141	141.4213562	1343
43.59464627	141.4213562	1354.5
43.65838113	141.4213562	1363.301874
43.722116	141.4213562	1373
43.78585086	141.4213562	1378.151117
43.84958572	141.4213562	1387.343505
43.91332059	141.4213562	1399.47514
43.97705545	141.4213562	1409.312007
44.04079031	141.4213562	1423
44.10452518	141.4213562	1438.686137
44.16826004	141.4213562	1442.798323
44.2319949	141.4213562	1446.033368
44.29572976	141.4213562	1454.518649
44.35946463	141.4213562	1473
44.42319949	141.4213562	1481.618642
44.48693435	141.4213562	1500.128436
44.55066922	141.4213562	1508.616253
44.61440408	141.4213562	1517.853858
44.67813894	141.4213562	1540.947868
44.7418738	141.4213562	1548.453422
44.80560867	141.4213562	1555.6703
44.86934353	141.4213562	1566.948627
44.93307839	141.4213562	1572
44.99681326	141.4213562	1581.79787
45.06054812	141.4213562	1596.4
45.12428298	141.4213562	1600.360317
45.18801785	141.4213562	1612.539302
45.25175271	156.2705986	1618.567422
45.31548757	156.2705986	1627.5
45.37922243	156.2705986	1632.709558
